Theme,Week,Description,Tuesday,Thursday,Readings,Homework,Group
Brains,1,We make lots of cognitive mistakes.,"[Overview & expectations](lecture_Course_Expectations.pdf)
Human Brain
[Kidney Cancer exercise](exerciseKidneyCancer.html)","[Marbles Exercise](exerciseMarbles.html)
Guided R intro simulating marbles exercise",(assigned Tuesday) Tversky&Kahneman; Dangerous Hospitals; Smaller stronger schools,Readings question,
Coincidence and patterns,2,One is attaching meaning to patterns generated by chance.,"Simulations
Discussion of Coincidences 
Fame game","Patterns emerge from randomness
Developing R skills through simulation","Diaconis and Mosteller;  Being Amused by Apophenia; Patternicity; ThinkingFastAndSlow video
","Reading questions
R patternsFromRandomness",
Testing,3,Testing is a logical approach to helping us with this problem,"Patterns emerge from randomness
Permutation test exercise(Pines vs Larch) ","Explaining permutation tests 
Permutation Tests in R",mistrust; estimating Reproducibility,Readings questions; **R** [permutation (Egg Incubation)](HW_permutation_test.html),
Problems with Testing,4,"However, here are many of problems with how tests have and continue to be used","Chocolate Research Presentation
R Chocolate Lab
Chocolate lab debrief","Setting null hypotheses
Drama - lack of reproducibility, 
Problems with testing (p-hacking)","BohannonChocolate, HowToPreregister, NuzzoHowScientistsFoolThemselves",testing (will focus on power and interpreting a reject. FPC).,
Power and Projects,5,Low powered tests create many of these problems. ,"Statistical Power 
How to interpret rejecting w/ low power (chunk diagram)
Bayes and blocks? 
Over-confidence 
Introduce projects","R Power lab
Initial Group Meetings","How I fooled; CI permitsNotGuarantee, principlesOfBootstrap; 20 tips; explore R graph gallery; betterDataVis",Reading questions; **R** [Bootstrap (income distribution)](HW_bootstrap.html),schedule first group meeting read material.
Estimation and confidence intervals,6,Estimation with confidence intervals makes it easier to identify and avoid many of these problems,"Faux Fish (Sampling distribution)
Faux Fish (Bootstrap)
Faux Fish (Bootstrap in R)","Graphing lecture
Using Cis to reduce ambiguity of tests
Sample and Pop
Different types of Simulation
Facets / metrics matter","ScientistsRiseUp, predifinedIoannidis",data collection,submit pre-registration proposal
What is a project,7,Some examples that illustrate the complexities of statistics in science ,"Study design
Talks by instructors on projects.","Visit from Journalist
Group Project Consulting",Beyond p<0.05; Guttorp podcast; Guttorp How to Save Bergen.,,Pre-register on  asPredicted.org and submit pdf report
Communication,8,Communication is probably the most important and difficult part of the process.,"Risk and Hazard (Bacon)
Communication (press release, journalism)
Brain and Sleep exercise
",Graphing Lab,bacon Spiegelhalter; breast cancer screening,,submit finished analysis
Life cycle of science,9,"Statistics cannot be disentangled from the scientific process. (question/metric , population/sampling, manuscript review, pre-registration,…)","Peer Review
Skin cancer and graphics
EPA and air pollution
Life cycle of science and curation of ideas (remember Fame Game) 
Multiverse 
","Presentation Tips
Thinking about the Course (exercise)",,,work on presentation
Project presentations,10,Students present their projects,Project Presentations,"Project Presentations
Best practices
Ask Students how to make the course better",,,presentations
